label,cond1,cond2,cond3,cond4,item,sentence,alternative,group
chow_rev_high_100_10,chow,rev,high,10,100,The travel agent recorded which innkeeper the guests had liked in his notebook.,x-x-x anyway proud surprise march despotism out behave ball floor risk miss populous.,list1
chow_rev_low_100_10,chow,rev,low,10,100,The travel agent recorded which guests the innkeeper had liked in his notebook.,x-x-x anyway proud surprise march behave out despotism ball floor risk miss populous.,list2
chow_rev_high_101_10,chow,rev,high,10,101,The trapeze artist indicated which lion the trainer had tamed for the circus.,x-x-x spanned senate suspicion enjoy undo okay condemn fact wares app ago resign.,list2
chow_rev_low_101_10,chow,rev,low,10,101,The trapeze artist indicated which trainer the lion had tamed for the circus.,x-x-x spanned senate suspicion enjoy condemn okay undo fact wares app ago resign.,list1
chow_rev_high_102_10,chow,rev,high,10,102,The birthday boy saw which friend the clown had scared at the party.,x-x-x whatever feet ways coast defend holy shale hall bureau anti yeah comes.,list1
chow_rev_low_102_10,chow,rev,low,10,102,The birthday boy saw which clown the friend had scared at the party.,x-x-x whatever feet ways coast shale holy defend hall bureau anti yeah comes.,list2
chow_rev_high_103_10,chow,rev,high,10,103,The opera composer revealed which pirate the singer had portrayed with the greatest finesse.,x-x-x eaten smashing sciences union tatter mom defend anti wholesale sold hear honestly burrows.,list2
chow_rev_low_103_10,chow,rev,low,10,103,The opera composer revealed which singer the pirate had portrayed with the greatest finesse.,x-x-x eaten smashing sciences union defend mom tatter anti wholesale sold hear honestly burrows.,list1
chow_rev_high_104_9,chow,rev,high,9,104,The newscaster confirmed which fugitive the policeman had arrested following the robbery.,x-x-x reconsider delicious watch farfetch bed allergies draw proposal resources grow endorse.,list1
chow_rev_low_104_9,chow,rev,low,9,104,The newscaster confirmed which policeman the fugitive had arrested following the robbery.,x-x-x reconsider delicious watch allergies bed farfetch draw proposal resources grow endorse.,list2
chow_rev_high_105_10,chow,rev,high,10,105,The royal cook asked which lord the chef had served for twenty years.,x-x-x yours okay miles super yeah guys nova non senate eyes regret title.,list2
chow_rev_low_105_10,chow,rev,low,10,105,The royal cook asked which chef the lord had served for twenty years.,x-x-x yours okay miles super nova guys yeah non senate eyes regret title.,list1
chow_rev_high_106_10,chow,rev,high,10,106,The family counselor understood which daughter the stepparent had abused on a daily basis.,x-x-x enough oxidation satellites china befriend mid transcribe fun escort join app items enter.,list1
chow_rev_low_106_10,chow,rev,low,10,106,The family counselor understood which stepparent the daughter had abused on a daily basis.,x-x-x enough oxidation satellites china transcribe mid befriend fun escort join app items enter.,list2
chow_rev_high_107_10,chow,rev,high,10,107,The art critic identified which model the artist had drawn in the studio.,x-x-x gone liquor condescend month swear zip decide jobs motor bed kill anyway.,list2
chow_rev_low_107_10,chow,rev,low,10,107,The art critic identified which artist the model had drawn in the studio.,x-x-x gone liquor condescend month decide zip swear jobs motor bed kill anyway.,list1
chow_rev_high_108_10,chow,rev,high,10,108,The wildlife curator mentioned which ape the zookeeper had fed some fresh fruit.,x-x-x reminded risking chocolate super noir okay screwball sir min lady marry knock.,list1
chow_rev_low_108_10,chow,rev,low,10,108,The wildlife curator mentioned which zookeeper the ape had fed some fresh fruit.,x-x-x reminded risking chocolate super screwball okay noir sir min lady marry knock.,list2
chow_rev_high_109_10,chow,rev,high,10,109,The costume designer confirmed which actor the barber had shaved for the part.,x-x-x undergo overseas bamboozle guess relax mid hereby word swings tax push held.,list2
chow_rev_low_109_10,chow,rev,low,10,109,The costume designer confirmed which barber the actor had shaved for the part.,x-x-x undergo overseas bamboozle guess hereby mid relax word swings tax push held.,list1
chow_rev_high_110_9,chow,rev,high,9,110,The investigator discovered which couple the abductor had taken during their vacation.,x-x-x transporting parliament carry forget holy lyricism yeah event review voice supplied.,list1
chow_rev_low_110_9,chow,rev,low,9,110,The investigator discovered which abductor the couple had taken during their vacation.,x-x-x transporting parliament carry lyricism holy forget yeah event review voice supplied.,list2
chow_rev_high_111_9,chow,rev,high,9,111,The librarian documented which celebrities the journalist had interviewed for the magazine.,x-x-x detecting hurricanes throw exterminate guys disqualify skin recruitment firm walk honestly.,list2
chow_rev_low_111_9,chow,rev,low,9,111,The librarian documented which journalist the celebrities had interviewed for the magazine.,x-x-x detecting hurricanes throw disqualify guys exterminate skin recruitment firm walk honestly.,list1
chow_rev_high_112_9,chow,rev,high,9,112,The historian documented which prince the assassin had killed in the 10th century.,x-x-x propelled ammunition phone loathe lots outweigh vote doctor box wish none putting.,list1
chow_rev_low_112_9,chow,rev,low,9,112,The historian documented which assassin the prince had killed in the 10th century.,x-x-x propelled ammunition phone outweigh lots loathe vote doctor box wish none putting.,list2
chow_rev_high_113_9,chow,rev,high,9,113,The broadcaster explained which contestant the judge had disqualified from the show.,x-x-x researching marijuana worth capitalize fat agree ice proclamation shop kid done.,list2
chow_rev_low_113_9,chow,rev,low,9,113,The broadcaster explained which judge the contestant had disqualified from the show.,x-x-x researching marijuana worth agree fat capitalize ice proclamation shop kid done.,list1
chow_rev_high_115_10,chow,rev,high,10,115,The security guard investigated which patrolman the loiterer had evaded for three hours.,x-x-x whatever tears quantitative sweet fecundity sir isometry pre valour song broke wants.,list1
